@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,pii,prism:issn,pubmed-id,freetoread,freetoreadLabel,prism:isbn
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105002277123'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105002277123?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002277123&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105002277123&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105002277123,SCOPUS_ID:105002277123,2-s2.0-105002277123,Consumer Perceptions and Attitudes Towards Ultra-Processed Foods,Ilieva G.,Applied Sciences Switzerland,20763417,15,7,,2025-04-01,April 2025,10.3390/app15073739,1,"[{'@_fa': 'true', 'affilname': 'Paisii Hilendarski University of Plovdiv', 'affiliation-city': 'Plovdiv', 'affiliation-country': 'Bulgaria'}]",Journal,ar,Article,3739,21100829268,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003743139'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003743139?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003743139&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105003743139&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105003743139,SCOPUS_ID:105003743139,2-s2.0-105003743139,Analysing Social Media Discourse on Electric Vehicles with Machine Learning,Özkara Y.,Applied Sciences Switzerland,20763417,15,8,,2025-04-01,April 2025,10.3390/app15084395,0,"[{'@_fa': 'true', 'affilname': 'Akdeniz Üniversitesi', 'affiliation-city': 'Antalya', 'affiliation-country': 'Turkey'}]",Journal,ar,Article,4395,21100829268,1,True,,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85218890727'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85218890727?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85218890727&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85218890727&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0963996925004430'}]",https://api.elsevier.com/content/abstract/scopus_id/85218890727,SCOPUS_ID:85218890727,2-s2.0-85218890727,"Immersive virtual contexts, engagement, and emotions: How do these factors influence sensory acceptance?",da Silva F.N.,Food Research International,18737145,207,,,2025-04-01,April 2025,10.1016/j.foodres.2025.116106,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Vicosa', 'affiliation-city': 'Vicosa', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,116106,23180,0,False,S0963996925004430,09639969,40086976,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003430702'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105003430702?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003430702&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105003430702&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105003430702,SCOPUS_ID:105003430702,2-s2.0-105003430702,ChurnKB: A Generative AI-Enriched Knowledge Base for Customer Churn Feature Engineering,Shahabikargar M.,Algorithms,19994893,18,4,,2025-04-01,April 2025,10.3390/a18040238,0,"[{'@_fa': 'true', 'affilname': 'Macquarie University', 'affiliation-city': 'Sydney', 'affiliation-country': 'Australia'}]",Journal,ar,Article,238,21100199795,1,True,,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105001805330'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105001805330?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001805330&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105001805330&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105001805330,SCOPUS_ID:105001805330,2-s2.0-105001805330,Linking Clicks to Bricks: Understanding the Effects of Email Advertising on Multichannel Sales,Zhou M.,Information Systems Research,15265536,36,1,225-238,2025-03-01,March 2025,10.1287/isre.2020.0557,0,"[{'@_fa': 'true', 'affilname': 'UBC Sauder School of Business', 'affiliation-city': 'Vancouver', 'affiliation-country': 'Canada'}]",Journal,ar,Article,,15574,0,False,,10477047,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208113340'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85208113340?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208113340&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85208113340&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85208113340,SCOPUS_ID:85208113340,2-s2.0-85208113340,Analysing the modest fashion market: an empirical study of e-commerce best-selling products,Putri N.F.,Journal of Islamic Marketing,17590841,16,3,841-869,2025-02-03,3 February 2025,10.1108/JIMA-03-2024-0142,1,"[{'@_fa': 'true', 'affilname': 'University of the Arts London', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,,21100236016,0,False,,17590833,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85217501375'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85217501375?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217501375&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85217501375&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85217501375,SCOPUS_ID:85217501375,2-s2.0-85217501375,Customer segmentation in the digital marketing using a Q-learning based differential evolution algorithm integrated with K-means clustering,Wang G.,Plos One,19326203,20,2 February,,2025-02-01,February 2025,10.1371/journal.pone.0318519,0,"[{'@_fa': 'true', 'affilname': 'Ningbo University of Finance & Economics', 'affiliation-city': 'Ningbo', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Zhejiang Marine Development Think Tank Alliance', 'affiliation-city': 'Ningbo', 'affiliation-country': 'China'}]",Journal,ar,Article,e0318519,10600153309,1,True,,,39919061,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85219150868'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85219150868?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85219150868&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85219150868&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85219150868,SCOPUS_ID:85219150868,2-s2.0-85219150868,Decoding Consumer Behaviour: Leveraging Big Data and Machine Learning for Personalized Digital Marketing,Shlash Mohammad A.A.,Data and Metadata,29534917,4,,,2025-01-01,1 January 2025,10.56294/dm2025700,0,"[{'@_fa': 'true', 'affilname': 'University of Petra', 'affiliation-city': 'Amman', 'affiliation-country': 'Jordan'}]",Journal,ar,Article,700,21101176015,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105000656761'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105000656761?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000656761&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105000656761&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105000656761,SCOPUS_ID:105000656761,2-s2.0-105000656761,Leveraging Machine Learning to Analyze Influencer Credibility’s Impact on Brand Admiration and Consumer Purchase Intent in Social Media Marketing,Zaki K.,Human Behavior and Emerging Technologies,25781863,2025,1,,2025-01-01,2025,10.1155/hbe2/9959697,1,"[{'@_fa': 'true', 'affilname': 'Shaqra University', 'affiliation-city': 'Shaqra', 'affiliation-country': 'Saudi Arabia'}, {'@_fa': 'true', 'affilname': 'Faculty of Tourism and Hotels', 'affiliation-city': 'Fayoum', 'affiliation-country': 'Egypt'}]",Journal,ar,Article,9959697,21101019738,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105002227919'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105002227919?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002227919&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105002227919&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105002227919,SCOPUS_ID:105002227919,2-s2.0-105002227919,The impact of cultural factors on digital marketing strategies with Machine learning and honey bee Algorithm (HBA),Khan M.,Cogent Business and Management,23311975,12,1,,2025-01-01,2025,10.1080/23311975.2025.2486590,0,"[{'@_fa': 'true', 'affilname': 'Abdul Wali Khan University Mardan', 'affiliation-city': 'Mardan', 'affiliation-country': 'Pakistan'}]",Journal,ar,Article,2486590,21100855822,0,False,,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105008024133'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105008024133?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105008024133&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105008024133&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105008024133,SCOPUS_ID:105008024133,2-s2.0-105008024133,PREDICTING FUTURE BRAND VALUE: THE ROLE OF MACHINE LEARNING MONITORING,Al Adwan A.,Innovative Marketing,18166326,21,2,183-196,2025-01-01,2025,10.21511/im.21(2).2025.15,0,"[{'@_fa': 'true', 'affilname': 'Al-Ahliyya Amman University', 'affiliation-city': 'Amman', 'affiliation-country': 'Jordan'}]",Journal,ar,Article,,21100899296,0,False,,18142427,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105000478795'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105000478795?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000478795&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105000478795&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105000478795,SCOPUS_ID:105000478795,2-s2.0-105000478795,The relevance of lead prioritization: a B2B lead scoring model based on machine learning,González-Flores L.,Frontiers in Artificial Intelligence,26248212,8,,,2025-01-01,2025,10.3389/frai.2025.1554325,0,"[{'@_fa': 'true', 'affilname': 'Universidad Panamericana', 'affiliation-city': 'Mexico City', 'affiliation-country': 'Mexico'}]",Journal,ar,Article,1554325,21101062817,1,True,,,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105006709994'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/105006709994?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006709994&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105006709994&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/105006709994,SCOPUS_ID:105006709994,2-s2.0-105006709994,Factors Influencing Consumers’ Behavior Towards Chinese Products on E-Commerce Platforms in Thailand,Ke Y.,International Journal of Analysis and Applications,22918639,23,,,2025-01-01,2025,10.28924/2291-8639-23-2025-108,0,"[{'@_fa': 'true', 'affilname': 'Mahasarakham University', 'affiliation-city': 'Maha Sarakham', 'affiliation-country': 'Thailand'}]",Journal,ar,Article,108,21101070992,0,False,,,,,,
